run_number	pmt_id	pedestal	gain
100116	4	6251.680	6596.710
100116	5	4066.450	4472.310
100116	6	5603.330	5886.130
100116	7	3710.210	4040.900
100116	8	6000.770	6301.140
100116	9	4923.610	5208.690
100117	0	5807.090	6125.480
100117	1	5737.470	6064.150
100117	2	6359.230	6680.520
100117	3	3779.630	4093.840
100117	4	6243.160	6590.690
100117	5	4051.360	4426.570
100117	6	5585.190	5863.500
100117	7	3688.490	4015.350
100117	8	5987.120	6269.720
100117	9	4895.980	5173.050
100118	0	5828.950	6135.300
100118	1	5758.440	6059.970
100118	2	6370.170	6689.370
100118	3	3789.470	4093.380
100118	4	6258.880	6597.210
100118	5	4071.750	4445.010
100118	6	5604.030	5874.030
100118	7	3716.720	4037.870
100118	8	5993.720	6280.160
100118	9	4931.620	5185.690
100119	0	5816.340	6126.350
100119	1	5740.270	6054.220
100119	2	6353.210	6675.460
100119	3	3773.070	4076.360
100119	4	6243.850	6579.890
100119	5	4065.540	4458.410
100119	6	5589.690	5867.700
100119	7	3695.080	4013.750
100119	8	5992.790	6276.530
100119	9	4909.730	5178.170
100120	0	5828.260	6139.440
100120	1	5753.560	6067.120
100120	2	6360.770	6669.420
100120	3	3787.500	4102.630
100120	4	6259.110	6607.430
100120	5	4075.330	4499.320
100120	6	5606.530	5878.840
100120	7	3712.550	4028.550
100120	8	6001.440	6290.370
100120	9	4931.230	5217.330
100121	0	5819.900	6135.910
100121	1	5748.080	6074.210
100121	2	6358.600	6674.590
100121	3	3782.280	4086.480
100121	4	6248.810	6591.170
100121	5	4066.480	4435.960
100121	6	5595.140	5868.400
100121	7	3702.570	4016.380
100121	8	5996.830	6266.780
100121	9	4915.230	5129.630
100122	0	5804.890	6100.200
100122	1	5735.680	6043.550
100122	2	6357.200	6679.220
100122	3	3781.390	4093.560
100122	4	6248.650	6590.760
100122	5	4063.910	4440.500
100122	6	5591.070	5864.750
100122	7	3696.460	4008.730
100122	8	5994.920	6295.710
100122	9	4905.480	5154.500
100123	0	5813.800	6123.150
100123	1	5748.870	6064.140
100123	2	6363.450	6683.770
100123	3	3793.400	4103.530
100123	4	6251.740	6590.440
100123	5	4065.370	4455.700
100123	6	5597.830	5857.310
100123	7	3707.400	4018.460
100123	8	5998.910	6308.180
100123	9	4919.200	5204.000
100124	0	5822.630	6136.010
100124	1	5756.400	6074.920
100124	2	6374.980	6693.970
100124	3	3805.670	4120.070
100124	4	6265.290	6605.000
100124	5	4081.870	4444.040
100124	6	5617.500	5890.540
100124	7	3720.930	4045.300
100124	8	6005.700	6292.230
100124	9	4939.210	5231.300
100125	0	5796.580	6113.860
100125	1	5729.900	6050.610
100125	2	6355.470	6673.640
100125	3	3783.580	4099.050
100125	4	6243.870	6585.460
100125	5	4049.680	4500.990
100125	6	5578.040	5843.010
100125	7	3682.870	3986.180
100125	8	5989.470	6298.630
100125	9	4897.000	5141.260
100126	0	5819.140	6115.130
100126	1	5747.770	6062.220
100126	2	6373.120	6695.700
100126	3	3798.540	4118.500
100126	4	6258.710	6605.330
100126	5	4067.510	4447.590
100126	6	5603.010	5862.800
100126	7	3708.480	4023.110
100126	8	5994.310	6302.670
100126	9	4924.670	5195.250
100128	0	5805.510	6114.820
100128	1	5741.140	6060.660
100128	2	6370.230	6680.400
100128	3	3785.430	4106.380
100128	4	6251.350	6590.220
100128	5	4064.240	4461.490
100128	6	5588.710	5859.740
100128	7	3701.270	4026.810
100128	8	5988.820	6282.640
100128	9	4906.990	5151.600
100129	0	5818.410	6124.600
100129	1	5757.640	6082.920
100129	2	6369.050	6701.960
100129	3	3794.390	4116.040
100129	4	6257.640	6599.010
100129	5	4073.370	4605.970
100129	6	5603.240	5889.550
100129	7	3715.890	4052.880
100129	8	5996.420	6311.250
100129	9	4927.950	5226.970
100130	0	5823.330	6148.770
100130	1	5760.790	6076.590
100130	2	6372.780	6693.580
100130	3	3799.300	4094.100
100130	4	6259.190	6598.860
100130	5	4079.790	4439.580
100130	6	5609.950	5888.280
100130	7	3729.700	4053.150
100130	8	5999.280	6294.390
100130	9	4932.170	5170.100
100131	0	5815.840	6136.900
100131	1	5748.670	6054.750
100131	2	6364.210	6686.230
100131	3	3782.730	4107.580
100131	4	6257.000	6602.890
100131	5	4075.360	4466.180
100131	6	5601.090	5876.170
100131	7	3716.440	4048.100
100131	8	5997.900	6266.840
100131	9	4919.620	5201.010
100132	0	5812.020	6105.650
100132	1	5756.530	6077.030
100132	2	6365.630	6687.240
100132	3	3788.440	4100.290
100132	4	6254.490	6594.740
100132	5	4075.120	4445.100
100132	6	5609.220	5884.350
100132	7	3720.490	4040.060
100132	8	5990.250	6293.890
100132	9	4924.650	5186.660
100133	0	5800.670	6125.100
100133	1	5732.080	6034.920
100133	2	6353.200	6686.000
100133	3	3778.920	4104.860
100133	4	6241.950	6583.350
100133	5	4056.700	4460.890
100133	6	5591.880	5863.630
100133	7	3699.760	4027.050
100133	8	5983.020	6286.220
100133	9	4899.050	3417.530
100139	0	5829.090	6129.360
100139	1	5748.320	6070.850
100139	2	6357.610	6684.270
100139	3	3783.300	4096.950
100139	4	6252.890	6591.700
100139	5	4069.980	4472.850
100139	6	5598.040	5867.570
100139	7	3717.180	4035.820
100139	8	5996.900	6301.260
100139	9	4914.520	5183.860
100140	0	5821.520	6129.550
100140	1	5740.230	6061.390
100140	2	6353.020	6671.940
100140	3	3777.440	4095.010
100140	4	6248.700	6590.440
100140	5	4069.100	4446.710
100140	6	5591.580	5847.260
100140	7	3703.410	4014.300
100140	8	5991.990	6290.300
100140	9	4903.540	5114.450
100141	0	5836.770	6168.660
100141	1	5750.730	6077.880
100141	2	6356.270	6671.140
100141	3	3791.470	4094.240
100141	4	6258.590	6602.950
100141	5	4079.860	4499.590
100141	6	5598.700	5890.290
100141	7	3719.490	4114.200
100141	8	5999.680	6240.060
100141	9	4924.670	5219.880
